SampleDateTime;DeviceID;BatteryVoltage;ChargingFlag;PLMN;SignalStrength;AttachTries;ConnectTries;AttachFailures;ConnectFailures;GeneralFailures;LastFailureCode;Temperature
2022-12-25 13:13:11.6013540;cg1;3726;0;1;17;14;0;0;0;0;0;-11.69
2022-12-25 13:28:28.6726360;cg1;3722;0;1;27;5;0;0;0;0;0;-11.88
2022-12-25 13:43:44.9949180;cg1;3726;0;1;25;5;0;0;0;0;0;-12.25
2022-12-25 13:59:01.7792310;cg1;3708;0;1;26;6;0;0;0;0;0;-12.56
2022-12-25 14:14:17.7953610;cg1;3718;0;1;25;5;0;0;0;0;0;-12.94
2022-12-25 14:44:50.5951040;cg1;3706;0;1;20;10;0;0;1;0;0;-12.88
2022-12-25 15:00:14.7654640;cg1;3724;0;1;18;16;0;0;0;0;0;-12.62
2022-12-25 15:15:38.3309030;cg1;3704;0;1;20;15;0;0;0;0;0;-12.5
2022-12-25 15:31:06.5079930;cg1;3726;0;1;26;5;0;0;0;1;0;-12.5
2022-12-25 15:46:23.7901270;cg1;3708;0;1;25;6;0;0;0;0;0;-12.5
2022-12-25 16:01:40.1181720;cg1;3720;0;1;27;5;0;0;0;0;0;-12.44
2022-12-25 16:17:02.9236620;cg1;3718;0;8;24;17;0;0;0;0;0;-12.5
2022-12-25 16:32:20.3509900;cg1;3708;0;8;25;7;0;0;0;0;0;-12.56
2022-12-25 16:47:37.2310540;cg1;3712;0;8;25;6;0;0;0;0;0;-12.81
2022-12-25 17:03:10.3621020;cg1;3706;0;8;24;34;0;0;0;0;0;-13.06
2022-12-25 17:18:27.6323140;cg1;3706;0;8;24;6;0;0;0;0;0;-13.31
2022-12-25 17:33:47.2417640;cg1;3704;0;1;26;12;0;0;0;0;0;-13.5
2022-12-25 18:04:31.0893570;cg1;3704;0;1;18;7;0;0;0;0;0;-13.88
2022-12-25 18:19:47.0923850;cg1;3704;0;1;25;5;0;0;0;0;0;-14.12
2022-12-25 18:35:04.0401730;cg1;3702;0;1;25;5;0;0;0;0;0;-14.44
2022-12-25 18:50:30.5216760;cg1;3696;0;8;25;26;0;0;0;0;0;-14.81
2022-12-25 19:05:58.5259690;cg1;3694;0;1;26;27;0;0;0;0;0;-15.19
2022-12-25 19:21:16.9155870;cg1;3674;0;1;27;6;0;0;0;0;0;-15.56
2022-12-25 19:36:33.5613700;cg1;3678;0;1;26;6;0;0;0;0;0;-15.94
2022-12-25 19:51:52.9305120;cg1;3658;0;1;22;11;0;0;0;0;0;-16.38
2022-12-25 20:07:13.5929260;cg1;3650;0;1;18;12;0;0;0;0;0;-16.69
2022-12-25 20:22:35.4887520;cg1;3654;0;8;24;15;0;0;0;0;0;-17.0
2022-12-25 20:53:20.5330030;cg1;3630;0;1;25;5;1;0;0;0;0;-17.5
2022-12-25 21:08:42.6863270;cg1;3620;0;8;25;16;1;0;0;0;0;-17.75
2022-12-25 21:24:04.7663400;cg1;3598;0;1;25;14;0;0;0;0;0;-17.94
2022-12-25 21:39:23.1149260;cg1;3578;0;1;19;9;0;0;0;0;0;-18.12
2022-12-25 21:54:49.7572920;cg1;3590;0;1;18;17;0;0;0;0;0;-18.31
2022-12-25 22:10:08.4678900;cg1;3570;0;1;19;10;0;0;0;0;0;-18.44
2022-12-25 22:25:27.5845140;cg1;3550;0;1;21;9;0;0;0;0;0;-18.31
2022-12-25 22:40:48.7201960;cg1;3556;0;1;20;12;0;0;0;0;0;-17.69
2022-12-25 22:56:10.3956690;cg1;3554;0;1;18;12;0;0;0;0;0;-16.81
